Título,URL,Descrição,Preço
FLAT 804 MARAVILHOSO NOS JARDINS,Flat inteiro em Cerqueira César,www.airbnb.com.br/rooms/49336694?adults=2&previous_page_section_name=1000&translate_ugc=false,R$100 por noite
Pôr do sol dos sonhos no Copan - por @Zairagon,Espaço inteiro: loft em Consolacao,www.airbnb.com.br/rooms/51147219?adults=2&previous_page_section_name=1000&translate_ugc=false,R$349 por noite
APTO MARAVILHOSO COBOGÓ,Flat inteiro em Pinheiros,www.airbnb.com.br/rooms/25347122?adults=2&previous_page_section_name=1000&translate_ugc=false,R$119 por noite
Duplex completo com terraço privativo | Jardim Paulista,Espaço inteiro: apartamento em Cerqueira César,www.airbnb.com.br/rooms/46261613?adults=2&previous_page_section_name=1000&translate_ugc=false,R$230 por noite
"Flat/cobertura, o mais charmoso dos Jardins II",Espaço inteiro: apartamento em Cerqueira César,www.airbnb.com.br/rooms/36315696?adults=2&previous_page_section_name=1000&translate_ugc=false,R$341 por noite
Clean&Cozy apartment next to Paulista and Ibirapue,Espaço inteiro: condomínio (condo) em Jardim Paulista,www.airbnb.com.br/rooms/41383001?adults=2&previous_page_section_name=1000&translate_ugc=false,R$174 por noite
Apartamento completo com vaga | Itaim Bibi,Espaço inteiro: apartamento em Itaim Bibi,www.airbnb.com.br/rooms/49291919?adults=2&previous_page_section_name=1000&translate_ugc=false,R$246 por noite
Studio perfeito no coração da Vila Madalena,Espaço inteiro: apartamento em Vila Madalena,www.airbnb.com.br/rooms/21448537?adults=2&previous_page_section_name=1000&translate_ugc=false,R$135 por noite
Estúdio moderno e mobiliado com Smart-TV e Wi-Fi !,Espaço inteiro: condomínio (condo) em República,www.airbnb.com.br/rooms/49904223?adults=2&previous_page_section_name=1000&translate_ugc=false,R$115 por noite
#1008 - Cyclinn Faria Lima Itaim,Espaço inteiro: apartamento em Itaim Bibi,www.airbnb.com.br/rooms/37217298?adults=2&previous_page_section_name=1000&translate_ugc=false,R$235 por noite
Studio Novíssimo Setin DownTown São Luiz-Centro SP,Espaço inteiro: loft em Bela Vista,www.airbnb.com.br/rooms/50656382?adults=2&previous_page_section_name=1000&translate_ugc=false,R$110 por noite
Lindo apartamento no Jardins com Estacionamento,Espaço inteiro: apartamento em Jardim Paulista,www.airbnb.com.br/rooms/2528522?adults=2&previous_page_section_name=1000&translate_ugc=false,R$149 por noite
#1305 - Cyclinn Iguatemi Itaim,Espaço inteiro: apartamento em Itaim Bibi,www.airbnb.com.br/rooms/43066272?adults=2&previous_page_section_name=1000&translate_ugc=false,R$232 por noite
Luxury Studio With amenities  - Vila Olímpia,Espaço inteiro: apartamento em Vila Olímpia,www.airbnb.com.br/rooms/44233918?adults=2&previous_page_section_name=1000&translate_ugc=false,R$52 por noite
S88 -  Moderno e aconchegante próx. Av Paulista!,Espaço inteiro: loft em Consolacao,www.airbnb.com.br/rooms/36037914?adults=2&previous_page_section_name=1000&translate_ugc=false,R$139 por noite
Apartamento Aconchegante | Vila Madalena | 80 m2,Espaço inteiro: condomínio (condo) em Vila Madalena,www.airbnb.com.br/rooms/11311462?adults=2&previous_page_section_name=1000&translate_ugc=false,R$99 por noite
Studio completo ao lado da Avenida Paulista,Espaço inteiro: apartamento em Consolacao,www.airbnb.com.br/rooms/13333009?adults=2&previous_page_section_name=1000&translate_ugc=false,R$100 por noite
"💎 Studio completo, Piscina e Academia na cobertura",Espaço inteiro: apartamento em Consolacao,www.airbnb.com.br/rooms/38045319?adults=2&previous_page_section_name=1000&translate_ugc=false,R$83 por noite
O Apê de Essepê,Espaço inteiro: apartamento em Bela Vista,www.airbnb.com.br/rooms/41230072?adults=2&previous_page_section_name=1000&translate_ugc=false,R$107 por noite
S170 - Novo e aconchegante próximo a Av Paulista!,Espaço inteiro: loft em Consolacao,www.airbnb.com.br/rooms/40989289?adults=2&previous_page_section_name=1000&translate_ugc=false,R$126 por noite
